station_event_id,original_event_id,catch_id,original_catch_id,verbatim_identification,species_recorded,common_name,scientific_name,scientific_name_id,taxonomic_rank,identified_by,date_identified,lifestage,catch_count,count_method,catch_weight,catch_weight_units,weight_method,comments
IYS2022-TINRO-3-3-Trawl,,IYS2022-TINRO-3-3-Trawl-19,,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,species,Aleksey Somov,2022-03-03,immature,1,Total,0.365,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-20,,Tarletonbeania crenularis,,,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,species,Aleksey Somov,2022-03-04,adult,19,Total,0.037,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-21,,Diaphus theta,,,Diaphus theta,urn:lsid:marinespecies.org:taxname:272694,species,Aleksey Somov,2022-03-04,adult,5,Total,0.009,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-22,,Boreoteuthis borealis,,,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,species,Aleksey Somov,2022-03-04,juvenile,1,Total,0.002,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-23,,Boreoteuthis borealis,,,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,species,Aleksey Somov,2022-03-04,adult,15,Total,0.225,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-24,,Onychoteuthis borealijaponica,,,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,species,Aleksey Somov,2022-03-04,adult,2,Total,0.397,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-25,,Chiroteuthis calyx,,,Chiroteuthis calyx,urn:lsid:marinespecies.org:taxname:341796,species,Aleksey Somov,2022-03-04,adult,2,Total,0.065,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-26,,Phacellophora camtshchatica,,,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,species,Aleksey Somov,2022-03-04,adult,8,Total,3.186,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-27,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-04,adult,,,2.416,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-28,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-04,immature,3,Total,1.933,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-29,,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,species,Aleksey Somov,2022-03-04,immature,4,Total,1.895,kilograms,Total,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-30,,Salpa aspera,,,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,species,Aleksey Somov,2022-03-04,adult,9982,Weight estimate,60,kilograms,Total,
IYS2022-TINRO-3-5-Trawl,,IYS2022-TINRO-3-5-Trawl-31,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-05,adult,,,0.18,kilograms,Total,
IYS2022-TINRO-3-5-Trawl,,IYS2022-TINRO-3-5-Trawl-32,,Phacellophora camtshchatica,,,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,species,Aleksey Somov,2022-03-05,adult,6,Total,6.14,kilograms,Total,
IYS2022-TINRO-3-5-Trawl,,IYS2022-TINRO-3-5-Trawl-33,,Tarletonbeania crenularis,,,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,species,Aleksey Somov,2022-03-05,adult,1,Total,0.002,kilograms,Total,
IYS2022-TINRO-3-5-Trawl,,IYS2022-TINRO-3-5-Trawl-34,,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,species,Aleksey Somov,2022-03-05,immature,3,Total,1.427,kilograms,Total,
IYS2022-TINRO-3-5-Trawl,,IYS2022-TINRO-3-5-Trawl-35,,Salpa maxima,,,Salpa maxima,urn:lsid:marinespecies.org:taxname:137273,species,Aleksey Somov,2022-03-05,adult,,,4.14,kilograms,Total,
IYS2022-TINRO-3-7-Trawl,,IYS2022-TINRO-3-7-Trawl-36,,Salpa aspera,,,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,species,Aleksey Somov,2022-03-05,adult,2692,Weight estimate,28,kilograms,Total,
IYS2022-TINRO-3-7-Trawl,,IYS2022-TINRO-3-7-Trawl-37,,Phacellophora camtshchatica,,,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,species,Aleksey Somov,2022-03-05,adult,3,Total,6.02,kilograms,Total,
IYS2022-TINRO-3-7-Trawl,,IYS2022-TINRO-3-7-Trawl-38,,Onychoteuthis borealijaponica,,,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,species,Aleksey Somov,2022-03-05,adult,1,Total,0.454,kilograms,Total,
IYS2022-TINRO-3-7-Trawl,,IYS2022-TINRO-3-7-Trawl-39,,Tarletonbeania crenularis,,,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,species,Aleksey Somov,2022-03-05,adult,2,Total,0.004,kilograms,Total,
IYS2022-TINRO-3-7-Trawl,,IYS2022-TINRO-3-7-Trawl-40,,Stenobrachius leucopsarus,,,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,species,Aleksey Somov,2022-03-05,adult,5,Total,0.017,kilograms,Total,
IYS2022-TINRO-3-7-Trawl,,IYS2022-TINRO-3-7-Trawl-41,,Diaphus theta,,,Diaphus theta,urn:lsid:marinespecies.org:taxname:272694,species,Aleksey Somov,2022-03-05,adult,3,Total,0.005,kilograms,Total,
IYS2022-TINRO-3-7-Trawl,,IYS2022-TINRO-3-7-Trawl-42,,Boreoteuthis borealis,,,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,species,Aleksey Somov,2022-03-05,adult,9,Total,0.097,kilograms,Total,
IYS2022-TINRO-3-7-Trawl,,IYS2022-TINRO-3-7-Trawl-43,,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,species,Aleksey Somov,2022-03-05,immature,1,Total,0.779,kilograms,Total,
IYS2022-TINRO-3-8-Trawl,,IYS2022-TINRO-3-8-Trawl-44,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-06,adult,,,0.903,kilograms,Total,
IYS2022-TINRO-3-8-Trawl,,IYS2022-TINRO-3-8-Trawl-45,,Boreoteuthis borealis,,,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,species,Aleksey Somov,2022-03-06,adult,2,Total,0.03,kilograms,Total,
IYS2022-TINRO-3-8-Trawl,,IYS2022-TINRO-3-8-Trawl-46,,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,species,Aleksey Somov,2022-03-06,immature,1,Total,0.308,kilograms,Total,
IYS2022-TINRO-3-8-Trawl,,IYS2022-TINRO-3-8-Trawl-47,,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,species,Aleksey Somov,2022-03-06,immature,1,Total,0.411,kilograms,Total,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-48,,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,species,Aleksey Somov,2022-03-06,immature,1,Total,0.349,kilograms,Total,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-49,,Oncorhynchus gorbuscha,,Pink Salmon,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,species,Aleksey Somov,2022-03-06,juvenile,2,Total,0.272,kilograms,Total,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-50,,Oncorhynchus tschawytscha,,Chinook Salmon,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,species,Aleksey Somov,2022-03-06,immature,2,Total,2.275,kilograms,Total,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-51,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-06,adult,,,1.508,kilograms,Total,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-52,,Phacellophora camtshchatica,,,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,species,Aleksey Somov,2022-03-06,adult,14,Total,4.14,kilograms,Total,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-53,,Tarletonbeania crenularis,,,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,species,Aleksey Somov,2022-03-06,adult,1,Total,0.002,kilograms,Total,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-54,,Gonatus kamtschaticus,,,Gonatus kamtschaticus,urn:lsid:marinespecies.org:taxname:341857,species,Aleksey Somov,2022-03-06,adult,1,Total,0.076,kilograms,Total,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-55,,Onychoteuthis borealijaponica,,,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,species,Aleksey Somov,2022-03-06,adult,1,Total,0.158,kilograms,Total,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-56,,Okutania anonycha,,,Okutania anonycha,urn:lsid:marinespecies.org:taxname:1468871,species,Aleksey Somov,2022-03-06,adult,997,Weight estimate,4.244,kilograms,Total,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-57,,Salpa aspera,,,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,species,Aleksey Somov,2022-03-06,adult,1772,Weight estimate,7.795,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-07,immature,40,Total,21.636,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-59,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-07,juvenile,6,Total,1.257,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-60,,Oncorhynchus gorbuscha,,Pink Salmon,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,species,Aleksey Somov,2022-03-07,juvenile,1,Total,0.245,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-61,,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,species,Aleksey Somov,2022-03-07,immature,2,Total,0.844,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-62,,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,species,Aleksey Somov,2022-03-07,immature,3,Total,5.243,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-63,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-07,adult,23,Weight estimate,5.85,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-64,,Phacellophora camtshchatica,,,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,species,Aleksey Somov,2022-03-07,adult,7,Total,0.973,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-65,,Onychoteuthis borealijaponica,,,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,species,Aleksey Somov,2022-03-07,adult,3,Total,0.177,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-66,,Boreoteuthis borealis,,,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,species,Aleksey Somov,2022-03-07,adult,9,Total,0.177,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-67,,Tarletonbeania crenularis,,,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,species,Aleksey Somov,2022-03-07,adult,108,Total,0.226,kilograms,Total,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-68,,Stenobrachius leucopsarus,,,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,species,Aleksey Somov,2022-03-07,adult,7,Total,0.011,kilograms,Total,
IYS2022-TINRO-3-11-Trawl,,IYS2022-TINRO-3-11-Trawl-69,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-07,adult,,,0.209,kilograms,Total,
IYS2022-TINRO-3-11-Trawl,,IYS2022-TINRO-3-11-Trawl-70,,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,species,Aleksey Somov,2022-03-07,immature,1,Total,0.457,kilograms,Total,
IYS2022-TINRO-3-12-Trawl,,IYS2022-TINRO-3-12-Trawl-71,,Tarletonbeania crenularis,,,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,species,Aleksey Somov,2022-03-08,adult,128,Total,0.194,kilograms,Total,
IYS2022-TINRO-3-12-Trawl,,IYS2022-TINRO-3-12-Trawl-72,,Phacellophora camtshchatica,,,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,species,Aleksey Somov,2022-03-08,adult,36,Total,6.22,kilograms,Total,
IYS2022-TINRO-3-12-Trawl,,IYS2022-TINRO-3-12-Trawl-73,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-08,adult,,,12.98,kilograms,Total,
IYS2022-TINRO-3-12-Trawl,,IYS2022-TINRO-3-12-Trawl-74,,Chrysaora melanaster,,,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,species,Aleksey Somov,2022-03-08,adult,6,Total,1.545,kilograms,Total,
IYS2022-TINRO-3-12-Trawl,,IYS2022-TINRO-3-12-Trawl-75,,Onychoteuthis borealijaponica,,,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,species,Aleksey Somov,2022-03-08,adult,1,Total,0.196,kilograms,Total,
IYS2022-TINRO-3-12-Trawl,,IYS2022-TINRO-3-12-Trawl-76,,Boreoteuthis borealis,,,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,species,Aleksey Somov,2022-03-08,adult,13,Total,0.481,kilograms,Total,
IYS2022-TINRO-3-12-Trawl,,IYS2022-TINRO-3-12-Trawl-77,,Gonatidae sp.,,,Gonatidae,urn:lsid:marinespecies.org:taxname:11743,family,Aleksey Somov,2022-03-08,juvenile,6,Total,0.017,kilograms,Total,
IYS2022-TINRO-3-12-Trawl,,IYS2022-TINRO-3-12-Trawl-78,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-08,immature,8,Total,5.844,kilograms,Total,
IYS2022-TINRO-3-12-Trawl,,IYS2022-TINRO-3-12-Trawl-79,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-08,juvenile,4,Total,0.816,kilograms,Total,
IYS2022-TINRO-3-12-Trawl,,IYS2022-TINRO-3-12-Trawl-80,,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,species,Aleksey Somov,2022-03-08,immature,10,Total,11.211,kilograms,Total,
IYS2022-TINRO-3-13-Trawl,,IYS2022-TINRO-3-13-Trawl-81,,Aurelia aurita,,,Aurelia aurita,urn:lsid:marinespecies.org:taxname:135306,species,Aleksey Somov,2022-03-08,adult,1,Total,0.58,kilograms,Total,
IYS2022-TINRO-3-13-Trawl,,IYS2022-TINRO-3-13-Trawl-82,,Chrysaora melanaster,,,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,species,Aleksey Somov,2022-03-08,adult,8,Total,1.3,kilograms,Total,
IYS2022-TINRO-3-13-Trawl,,IYS2022-TINRO-3-13-Trawl-83,,Phacellophora camtshchatica,,,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,species,Aleksey Somov,2022-03-08,adult,25,Total,8.69,kilograms,Total,
IYS2022-TINRO-3-13-Trawl,,IYS2022-TINRO-3-13-Trawl-84,,Gasterosteus aculeatus,,,Gasterosteus aculeatus,urn:lsid:marinespecies.org:taxname:126505,species,Aleksey Somov,2022-03-08,adult,280,Weight estimate,1.37,kilograms,Total,
IYS2022-TINRO-3-13-Trawl,,IYS2022-TINRO-3-13-Trawl-85,,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,species,Aleksey Somov,2022-03-08,immature,16,Total,12.842,kilograms,Total,
IYS2022-TINRO-3-13-Trawl,,IYS2022-TINRO-3-13-Trawl-86,,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,species,Aleksey Somov,2022-03-08,juvenile,4,Total,0.534,kilograms,Total,
IYS2022-TINRO-3-13-Trawl,,IYS2022-TINRO-3-13-Trawl-87,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-08,juvenile,581,Total,103.999,kilograms,Weight estimate,
IYS2022-TINRO-3-13-Trawl,,IYS2022-TINRO-3-13-Trawl-88,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-08,immature,68,Total,36.569,kilograms,Total,
IYS2022-TINRO-3-13-Trawl,,IYS2022-TINRO-3-13-Trawl-89,,Oncorhynchus gorbuscha,,Pink Salmon,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,species,Aleksey Somov,2022-03-08,juvenile,9,Total,1.64,kilograms,Total,
IYS2022-TINRO-3-13-Trawl,,IYS2022-TINRO-3-13-Trawl-90,,Oncorhynchus gorbuscha,,Pink Salmon,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,species,Aleksey Somov,2022-03-08,adult,3,Total,0.795,kilograms,Total,
IYS2022-TINRO-3-14-Trawl,,IYS2022-TINRO-3-14-Trawl-91,,Okutania anonycha,,,Okutania anonycha,urn:lsid:marinespecies.org:taxname:1468871,species,Aleksey Somov,2022-03-09,adult,297,Weight estimate,1.691,kilograms,Total,
IYS2022-TINRO-3-14-Trawl,,IYS2022-TINRO-3-14-Trawl-92,,Zaprora silenus,,,Zaprora silenus,urn:lsid:marinespecies.org:taxname:254353,species,Aleksey Somov,2022-03-09,adult,1,Total,0.092,kilograms,Total,
IYS2022-TINRO-3-14-Trawl,,IYS2022-TINRO-3-14-Trawl-93,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-09,adult,78,Weight estimate,15.41,kilograms,Total,
IYS2022-TINRO-3-14-Trawl,,IYS2022-TINRO-3-14-Trawl-94,,Gonatus kamtschaticus,,,Gonatus kamtschaticus,urn:lsid:marinespecies.org:taxname:341857,species,Aleksey Somov,2022-03-09,adult,1,Total,0.068,kilograms,Total,
IYS2022-TINRO-3-14-Trawl,,IYS2022-TINRO-3-14-Trawl-95,,Phacellophora camtshchatica,,,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,species,Aleksey Somov,2022-03-09,adult,53,Total,1.049,kilograms,Total,
IYS2022-TINRO-3-14-Trawl,,IYS2022-TINRO-3-14-Trawl-96,,Chrysaora melanaster,,,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,species,Aleksey Somov,2022-03-09,adult,48,Total,31.92,kilograms,Total,
IYS2022-TINRO-3-14-Trawl,,IYS2022-TINRO-3-14-Trawl-97,,Aurelia aurita,,,Aurelia aurita,urn:lsid:marinespecies.org:taxname:135306,species,Aleksey Somov,2022-03-09,adult,1,Total,0.136,kilograms,Total,
IYS2022-TINRO-3-14-Trawl,,IYS2022-TINRO-3-14-Trawl-98,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-09,juvenile,6,Total,0.936,kilograms,Total,
IYS2022-TINRO-3-14-Trawl,,IYS2022-TINRO-3-14-Trawl-99,,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,species,Aleksey Somov,2022-03-09,immature,2,Total,0.892,kilograms,Total,
IYS2022-TINRO-3-14-Trawl,,IYS2022-TINRO-3-14-Trawl-100,,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,species,Aleksey Somov,2022-03-09,immature,2,Total,2.442,kilograms,Total,
IYS2022-TINRO-3-15-Trawl,,IYS2022-TINRO-3-15-Trawl-101,,Aurelia aurita,,,Aurelia aurita,urn:lsid:marinespecies.org:taxname:135306,species,Aleksey Somov,2022-03-09,adult,3,Total,0.632,kilograms,Total,
IYS2022-TINRO-3-15-Trawl,,IYS2022-TINRO-3-15-Trawl-102,,Phacellophora camtshchatica,,,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,species,Aleksey Somov,2022-03-09,adult,7,Total,2.744,kilograms,Total,
IYS2022-TINRO-3-15-Trawl,,IYS2022-TINRO-3-15-Trawl-103,,Chrysaora melanaster,,,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,species,Aleksey Somov,2022-03-09,adult,131,Weight estimate,38.5,kilograms,Total,
