specimen_id,IAgroup
IYS2022-TINRO-3-26-Trawl-181-355,WesternAK
IYS2022-TINRO-3-26-Trawl-181-356,WesternAK
IYS2022-TINRO-3-26-Trawl-181-357,WesternAK
IYS2022-TINRO-3-26-Trawl-181-358,WesternAK
IYS2022-TINRO-3-26-Trawl-180-332,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-333,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-334,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-335,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-181-359,WesternAK
IYS2022-TINRO-3-26-Trawl-181-360,WesternAK
IYS2022-TINRO-3-26-Trawl-181-361,NorthernRussia
IYS2022-TINRO-3-26-Trawl-181-362,WesternAK
IYS2022-TINRO-3-26-Trawl-181-363,NAKPen/WesternGOA
IYS2022-TINRO-3-26-Trawl-181-364,WesternAK
IYS2022-TINRO-3-26-Trawl-181-365,WesternAK
IYS2022-TINRO-3-26-Trawl-181-366,WesternAK
IYS2022-TINRO-3-26-Trawl-181-367,WesternAK
IYS2022-TINRO-3-26-Trawl-181-368,WesternAK
IYS2022-TINRO-3-26-Trawl-181-369,WesternAK
IYS2022-TINRO-3-26-Trawl-180-336,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-337,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-338,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-339,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-340,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-341,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-375,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-342,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-343,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-344,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-345,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-346,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-347,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-348,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-376,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-349,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-350,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-351,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-352,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-353,NorthernRussia
IYS2022-TINRO-3-26-Trawl-181-370,WesternAK
IYS2022-TINRO-3-26-Trawl-181-371,WesternAK
IYS2022-TINRO-3-26-Trawl-181-372,WesternAK
IYS2022-TINRO-3-26-Trawl-181-373,WesternAK
IYS2022-TINRO-3-26-Trawl-181-374,WesternAK
IYS2022-TINRO-3-29-Trawl-210-452,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-29-Trawl-210-453,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-32-Trawl-227-504,NorthernRussia
IYS2022-TINRO-3-32-Trawl-227-505,NorthernRussia
IYS2022-NW-2-2-Trawl-2-1,Japan/Korea/SouthernRussia
IYS2022-NW-2-2-Trawl-2-2,NorthernRussia
IYS2022-NW-2-2-Trawl-2-3,NorthernRussia
IYS2022-NW-2-2-Trawl-2-4,NorthernRussia
IYS2022-NW-2-2-Trawl-2-5,NAKPen/WesternGOA
IYS2022-NW-2-2-Trawl-2-6,NorthernRussia
IYS2022-NW-2-2-Trawl-2-7,Japan/Korea/SouthernRussia
IYS2022-NW-2-2-Trawl-2-8,NorthernRussia
IYS2022-NW-2-3-Trawl-2-1,SouthernBC/WA
IYS2022-NW-2-3-Trawl-2-2,Japan/Korea/SouthernRussia
IYS2022-NW-2-3-Trawl-2-4,SouthernBC/WA
IYS2022-NW-2-4-Trawl-1-3,SouthernBC/WA
IYS2022-NW-2-5-Trawl-1-1,NorthernRussia
IYS2022-NW-2-5-Trawl-1-2,NorthernRussia
IYS2022-NW-2-5-Trawl-1-3,NorthernRussia
IYS2022-NW-2-5-Trawl-1-4,WesternAK
IYS2022-NW-2-5-Trawl-1-5,Japan/Korea/SouthernRussia
IYS2022-NW-2-5-Trawl-1-6,NorthernRussia
IYS2022-NW-2-5-Trawl-1-7,NorthernRussia
IYS2022-NW-2-5-Trawl-1-8,Japan/Korea/SouthernRussia
IYS2022-NW-2-5-Trawl-1-9,Japan/Korea/SouthernRussia
IYS2022-NW-2-5-Trawl-1-10,Japan/Korea/SouthernRussia
IYS2022-NW-2-5-Trawl-1-11,WesternAK
IYS2022-NW-2-5-Trawl-1-12,Japan/Korea/SouthernRussia
IYS2022-NW-2-5-Trawl-1-13,Japan/Korea/SouthernRussia
IYS2022-NW-2-5-Trawl-1-14,SouthernBC/WA
IYS2022-NW-2-5-Trawl-1-15,Japan/Korea/SouthernRussia
IYS2022-NW-2-5-Trawl-1-16,Japan/Korea/SouthernRussia
IYS2022-NW-2-5-Trawl-1-17,NorthernRussia
IYS2022-NW-2-5-Trawl-1-18,Japan/Korea/SouthernRussia
IYS2022-NW-2-5-Trawl-1-19,NorthernRussia
IYS2022-NW-2-5-Trawl-1-20,NorthernRussia
IYS2022-NW-2-5-Trawl-1-21,Japan/Korea/SouthernRussia
IYS2022-NW-2-5-Trawl-1-22,NorthernRussia
IYS2022-NW-2-5-Trawl-1-23,NorthernRussia
IYS2022-NW-2-6-Trawl-2-1,Japan/Korea/SouthernRussia
IYS2022-NW-2-6-Trawl-2-2,Japan/Korea/SouthernRussia
IYS2022-NW-2-6-Trawl-2-3,NorthernRussia
IYS2022-NW-2-6-Trawl-2-4,Japan/Korea/SouthernRussia
IYS2022-NW-2-6-Trawl-2-5,SEAK/NorthernBC
IYS2022-NW-2-6-Trawl-2-6,Japan/Korea/SouthernRussia
IYS2022-NW-2-6-Trawl-2-7,NorthernRussia
IYS2022-NW-2-6-Trawl-2-8,Japan/Korea/SouthernRussia
IYS2022-NW-2-6-Trawl-2-9,NorthernRussia
IYS2022-NW-2-6-Trawl-2-10,Japan/Korea/SouthernRussia
IYS2022-NW-2-6-Trawl-2-11,SEAK/NorthernBC
IYS2022-NW-2-6-Trawl-2-12,NorthernRussia
IYS2022-NW-2-6-Trawl-2-13,NorthernRussia
IYS2022-NW-2-6-Trawl-2-14,Japan/Korea/SouthernRussia
IYS2022-NW-2-6-Trawl-2-15,NAKPen/WesternGOA
IYS2022-NW-2-6-Trawl-2-16,NorthernRussia
IYS2022-NW-2-6-Trawl-2-17,NorthernRussia
IYS2022-NW-2-6-Trawl-2-19,NorthernRussia
IYS2022-NW-2-6-Trawl-2-20,NorthernRussia
IYS2022-NW-2-6-Trawl-2-21,Japan/Korea/SouthernRussia
IYS2022-NW-2-6-Trawl-2-22,NorthernRussia
IYS2022-NW-2-6-Trawl-2-23,NorthernRussia
IYS2022-NW-2-6-Trawl-2-24,NorthernRussia
IYS2022-NW-2-6-Trawl-2-25,Japan/Korea/SouthernRussia
IYS2022-NW-2-6-Trawl-2-26,NorthernRussia
IYS2022-NW-2-6-Trawl-2-27,WesternAK
IYS2022-NW-2-6-Trawl-2-28,NorthernRussia
IYS2022-NW-2-6-Trawl-2-29,NorthernRussia
IYS2022-NW-2-6-Trawl-2-30,NorthernRussia
IYS2022-NW-2-6-Trawl-2-31,NorthernRussia
IYS2022-NW-2-6-Trawl-2-32,NorthernRussia
IYS2022-NW-2-7-Trawl-1-11,NorthernRussia
IYS2022-NW-2-7-Trawl-1-12,NorthernRussia
IYS2022-NW-2-7-Trawl-1-13,Japan/Korea/SouthernRussia
IYS2022-NW-2-8-Trawl-3-9,Japan/Korea/SouthernRussia
IYS2022-NW-2-8-Trawl-3-10,NorthernRussia
IYS2022-NW-2-8-Trawl-3-11,SouthernBC/WA
IYS2022-NW-2-11-Trawl-2-9,NorthernRussia
IYS2022-NW-2-12-Trawl-5-13,NorthernRussia
IYS2022-NW-2-12-Trawl-5-14,Japan/Korea/SouthernRussia
IYS2022-NW-2-12-Trawl-5-15,Japan/Korea/SouthernRussia
IYS2022-NW-2-12-Trawl-5-16,Japan/Korea/SouthernRussia
IYS2022-NW-2-12-Trawl-5-17,Japan/Korea/SouthernRussia
IYS2022-NW-2-12-Trawl-5-18,NorthernRussia
IYS2022-NW-2-12-Trawl-5-19,Japan/Korea/SouthernRussia
IYS2022-NW-2-12-Trawl-5-20,Japan/Korea/SouthernRussia
IYS2022-NW-2-12-Trawl-5-21,NorthernRussia
IYS2022-NW-2-12-Trawl-5-22,NorthernRussia
IYS2022-NW-2-12-Trawl-5-23,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-1,NorthernRussia
IYS2022-NW-2-13-Trawl-4-3,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-4,NorthernRussia
IYS2022-NW-2-13-Trawl-4-5,SEAK/NorthernBC
IYS2022-NW-2-13-Trawl-4-6,NorthernRussia
IYS2022-NW-2-13-Trawl-4-8,NorthernRussia
IYS2022-NW-2-13-Trawl-4-9,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-10,NorthernRussia
IYS2022-NW-2-13-Trawl-4-12,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-11,NorthernRussia
IYS2022-NW-2-13-Trawl-4-13,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-14,NorthernRussia
IYS2022-NW-2-13-Trawl-4-15,WesternAK
IYS2022-NW-2-13-Trawl-4-16,NorthernRussia
IYS2022-NW-2-13-Trawl-4-17,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-18,NorthernRussia
IYS2022-NW-2-13-Trawl-4-19,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-20,NorthernRussia
IYS2022-NW-2-13-Trawl-4-21,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-22,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-23,NorthernRussia
IYS2022-NW-2-13-Trawl-4-24,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-25,Japan/Korea/SouthernRussia
IYS2022-NW-2-13-Trawl-4-26,NorthernRussia
IYS2022-NW-2-14-Trawl-2-27,NorthernRussia
IYS2022-NW-2-14-Trawl-2-28,Japan/Korea/SouthernRussia
IYS2022-NW-2-14-Trawl-2-29,Japan/Korea/SouthernRussia
IYS2022-NW-2-14-Trawl-2-30,NorthernRussia
IYS2022-NW-2-14-Trawl-2-31,NorthernRussia
IYS2022-NW-2-14-Trawl-2-32,Japan/Korea/SouthernRussia
IYS2022-NW-2-14-Trawl-2-34,Japan/Korea/SouthernRussia
IYS2022-NW-2-15-Trawl-3-1,NorthernRussia
IYS2022-NW-2-15-Trawl-3-2,NorthernRussia
IYS2022-NW-2-15-Trawl-3-3,NorthernRussia
IYS2022-NW-2-15-Trawl-3-4,NorthernRussia
IYS2022-NW-2-15-Trawl-3-5,Japan/Korea/SouthernRussia
IYS2022-NW-2-15-Trawl-3-6,NorthernRussia
IYS2022-NW-2-15-Trawl-3-7,NorthernRussia
IYS2022-NW-2-15-Trawl-3-8,Japan/Korea/SouthernRussia
IYS2022-NW-2-15-Trawl-3-9,NorthernRussia
IYS2022-NW-2-15-Trawl-3-10,Japan/Korea/SouthernRussia
IYS2022-NW-2-15-Trawl-3-11,NorthernRussia
IYS2022-NW-2-15-Trawl-3-13,NorthernRussia
IYS2022-NW-2-15-Trawl-3-14,NorthernRussia
IYS2022-NW-2-15-Trawl-3-15,NorthernRussia
IYS2022-NW-2-15-Trawl-3-16,NorthernRussia
IYS2022-NW-2-15-Trawl-3-17,NorthernRussia
IYS2022-NW-2-15-Trawl-3-18,Japan/Korea/SouthernRussia
IYS2022-NW-2-15-Trawl-3-19,NorthernRussia
IYS2022-NW-2-15-Trawl-3-20,NorthernRussia
IYS2022-NW-2-15-Trawl-3-21,NorthernRussia
IYS2022-NW-2-15-Trawl-3-22,NorthernRussia
IYS2022-NW-2-15-Trawl-3-23,NorthernRussia
IYS2022-NW-2-15-Trawl-3-24,NorthernRussia
IYS2022-NW-2-16-Trawl-4-1,NorthernRussia
IYS2022-NW-2-16-Trawl-4-2,NorthernRussia
IYS2022-NW-2-16-Trawl-4-3,Japan/Korea/SouthernRussia
IYS2022-NW-2-16-Trawl-4-5,Japan/Korea/SouthernRussia
IYS2022-NW-2-16-Trawl-4-6,NorthernRussia
IYS2022-NW-2-16-Trawl-4-7,NorthernRussia
IYS2022-NW-2-16-Trawl-4-8,NorthernRussia
IYS2022-NW-2-16-Trawl-4-9,NorthernRussia
IYS2022-NW-2-16-Trawl-4-10,Japan/Korea/SouthernRussia
IYS2022-NW-2-16-Trawl-4-11,Japan/Korea/SouthernRussia
IYS2022-NW-2-16-Trawl-4-12,NorthernRussia
IYS2022-NW-2-16-Trawl-4-13,NorthernRussia
IYS2022-NW-2-16-Trawl-4-14,NorthernRussia
IYS2022-NW-2-16-Trawl-4-15,NorthernRussia
IYS2022-NW-2-16-Trawl-4-16,Japan/Korea/SouthernRussia
IYS2022-NW-2-16-Trawl-4-17,Japan/Korea/SouthernRussia
IYS2022-NW-2-16-Trawl-4-18,NorthernRussia
IYS2022-NW-2-16-Trawl-4-19,NorthernRussia
IYS2022-NW-2-16-Trawl-4-20,NorthernRussia
IYS2022-NW-2-16-Trawl-4-21,NorthernRussia
IYS2022-NW-2-16-Trawl-4-22,Japan/Korea/SouthernRussia
IYS2022-NW-2-16-Trawl-4-23,Japan/Korea/SouthernRussia
IYS2022-NW-2-16-Trawl-4-24,NorthernRussia
IYS2022-NW-2-16-Trawl-4-25,SEAK/NorthernBC
IYS2022-NW-2-16-Trawl-4-26,NorthernRussia
IYS2022-NW-2-16-Trawl-4-27,NorthernRussia
IYS2022-NW-2-16-Trawl-4-28,NorthernRussia
IYS2022-NW-2-16-Trawl-4-29,NorthernRussia
IYS2022-NW-2-16-Trawl-4-30,NorthernRussia
IYS2022-NW-2-16-Trawl-4-31,NorthernRussia
IYS2022-NW-2-16-Trawl-4-32,NorthernRussia
IYS2022-NW-2-16-Trawl-4-33,NorthernRussia
IYS2022-NW-2-16-Trawl-4-34,Japan/Korea/SouthernRussia
IYS2022-NW-2-16-Trawl-4-35,NorthernRussia
IYS2022-NW-2-16-Trawl-4-36,NAKPen/WesternGOA
IYS2022-NW-2-16-Trawl-4-37,NorthernRussia
IYS2022-NW-2-17-Trawl-1-1,NorthernRussia
IYS2022-NW-2-17-Trawl-1-2,NorthernRussia
IYS2022-NW-2-17-Trawl-1-3,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-4,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-5,NorthernRussia
IYS2022-NW-2-17-Trawl-1-6,NorthernRussia
IYS2022-NW-2-17-Trawl-1-7,NorthernRussia
IYS2022-NW-2-17-Trawl-1-8,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-9,NorthernRussia
IYS2022-NW-2-17-Trawl-1-10,NorthernRussia
IYS2022-NW-2-17-Trawl-1-11,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-12,NorthernRussia
IYS2022-NW-2-17-Trawl-1-13,NorthernRussia
IYS2022-NW-2-17-Trawl-1-14,NorthernRussia
IYS2022-NW-2-17-Trawl-1-15,NorthernRussia
IYS2022-NW-2-17-Trawl-1-16,SEAK/NorthernBC
IYS2022-NW-2-17-Trawl-1-17,NAKPen/WesternGOA
IYS2022-NW-2-17-Trawl-1-18,NorthernRussia
IYS2022-NW-2-17-Trawl-1-19,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-20,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-21,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-22,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-23,NorthernRussia
IYS2022-NW-2-17-Trawl-1-24,NorthernRussia
IYS2022-NW-2-17-Trawl-1-25,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-26,NorthernRussia
IYS2022-NW-2-17-Trawl-1-27,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-28,NAKPen/WesternGOA
IYS2022-NW-2-17-Trawl-1-29,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-30,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-31,NorthernRussia
IYS2022-NW-2-17-Trawl-1-32,NorthernRussia
IYS2022-NW-2-17-Trawl-1-33,NorthernRussia
IYS2022-NW-2-17-Trawl-1-34,NorthernRussia
IYS2022-NW-2-17-Trawl-1-35,NorthernRussia
IYS2022-NW-2-17-Trawl-1-36,NorthernRussia
IYS2022-NW-2-17-Trawl-1-37,NorthernRussia
IYS2022-NW-2-17-Trawl-1-39,NorthernRussia
IYS2022-NW-2-17-Trawl-1-40,NorthernRussia
IYS2022-NW-2-17-Trawl-1-41,NorthernRussia
IYS2022-NW-2-17-Trawl-1-42,NorthernRussia
IYS2022-NW-2-17-Trawl-1-43,NorthernRussia
IYS2022-NW-2-17-Trawl-1-44,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-45,NorthernRussia
IYS2022-NW-2-17-Trawl-1-46,NorthernRussia
IYS2022-NW-2-17-Trawl-1-48,NorthernRussia
IYS2022-NW-2-17-Trawl-1-49,NorthernRussia
IYS2022-NW-2-17-Trawl-1-50,NorthernRussia
IYS2022-NW-2-17-Trawl-1-51,Japan/Korea/SouthernRussia
IYS2022-NW-2-17-Trawl-1-52,NorthernRussia
IYS2022-NW-2-17-Trawl-1-53,NorthernRussia
IYS2022-NW-2-17-Trawl-1-54,NorthernRussia
IYS2022-NW-2-17-Trawl-1-55,NorthernRussia
IYS2022-NW-2-18-Trawl-1-1,NorthernRussia
IYS2022-NW-2-18-Trawl-1-2,NorthernRussia
IYS2022-NW-2-18-Trawl-1-3,NorthernRussia
IYS2022-NW-2-18-Trawl-1-4,Japan/Korea/SouthernRussia
IYS2022-NW-2-18-Trawl-1-5,Japan/Korea/SouthernRussia
IYS2022-NW-2-18-Trawl-1-6,Japan/Korea/SouthernRussia
IYS2022-NW-2-18-Trawl-1-7,Japan/Korea/SouthernRussia
IYS2022-NW-2-18-Trawl-1-8,NorthernRussia
IYS2022-NW-2-18-Trawl-1-9,NorthernRussia
IYS2022-NW-2-18-Trawl-1-10,NorthernRussia
IYS2022-NW-2-18-Trawl-1-11,NorthernRussia
IYS2022-NW-2-18-Trawl-1-12,NorthernRussia
IYS2022-NW-2-18-Trawl-1-13,NorthernRussia
IYS2022-NW-2-18-Trawl-1-14,Japan/Korea/SouthernRussia
IYS2022-NW-2-18-Trawl-1-15,Japan/Korea/SouthernRussia
IYS2022-NW-2-18-Trawl-1-16,SEAK/NorthernBC
IYS2022-NW-2-18-Trawl-1-17,NorthernRussia
IYS2022-NW-2-18-Trawl-1-18,Japan/Korea/SouthernRussia
IYS2022-NW-2-18-Trawl-1-19,NorthernRussia
IYS2022-NW-2-18-Trawl-1-20,Japan/Korea/SouthernRussia
IYS2022-NW-2-18-Trawl-1-21,Japan/Korea/SouthernRussia
